"","SampleID","pOTU002","pOTU003","pOTU001","pOTU004","pOTU005","pOTU007","pOTU009","pOTU010","pOTU006","pOTU011","pOTU008","pOTU013","pOTU012","pOTU014","pOTU015","pOTU017","pOTU020","pOTU016","pOTU022","pOTU024","pOTU018","pOTU021","pOTU019","pOTU027","pOTU028","pOTU026","pOTU023","pOTU025","pOTU031","pOTU029","pOTU033","pOTU034","pOTU030","pOTU037","pOTU040","pOTU035","pOTU038","pOTU052","pOTU032","pOTU036","pOTU039","pOTU051","pOTU042","pOTU044","pOTU041","pOTU048","pOTU047","pOTU045","pOTU054","pOTU049","pOTU046","pOTU055","pOTU068","pOTU043","pOTU056","pOTU064","pOTU109","pOTU059","pOTU057","pOTU065","pOTU050","pOTU181","pOTU060","pOTU069","pOTU130","pOTU102","pOTU142","pOTU071","pOTU058","pOTU063","pOTU066","pOTU073","pOTU053","pOTU160","pOTU062","pOTU176","pOTU136","pOTU070","pOTU061","pOTU174","pOTU169","pOTU079","pOTU067","pOTU089","pOTU095","pOTU131","pOTU075","pOTU161","pOTU140","pOTU090","pOTU138","pOTU170","pOTU084","pOTU124","pOTU072","pOTU083","pOTU077","pOTU080","pOTU093","pOTU116","pOTU180","pOTU108","pOTU074","pOTU076","pOTU086","pOTU144","pOTU166","pOTU139","pOTU157","pOTU078","pOTU163","pOTU096","pOTU087","pOTU165","pOTU081","pOTU120","pOTU179","pOTU092","pOTU105","pOTU156","pOTU172","pOTU158","pOTU111","pOTU082","pOTU085","pOTU113","pOTU164","pOTU168","pOTU106","pOTU091","pOTU098","pOTU088","pOTU122","pOTU175","pOTU162","pOTU094","pOTU117","pOTU097","pOTU125","pOTU154","pOTU123","pOTU159","pOTU100","pOTU103","pOTU112","pOTU126","pOTU099","pOTU101","pOTU150","pOTU129","pOTU128","pOTU119","pOTU148","pOTU145","pOTU137","pOTU146","pOTU107","pOTU152","pOTU141","pOTU115","pOTU132","pOTU178","pOTU133","pOTU114","pOTU177","pOTU127","pOTU121","pOTU104","pOTU167","pOTU151","pOTU155","pOTU147","pOTU135","pOTU110","Old_sample_ID","project","size_fraction_lower_threshold","size_fraction_upper_threshold","collection_date_merged","Year","Month","Day","lat","long","lat_rank","depth","water_colum","altitude","feature_v2","raw_env_v2","Salinity_V2","Temp_MG","Longhurst_province","longhurst_code","province_name","ocean","biome","OcenRegion","notus_18SrRNA","nreads_18SrRNA","picozoa_nreads","picozoa_noutus","picozoa_nreads_rarefy","Picozoa_notus_rarefy","Shannon","S.obs","S.chao1","water_colum2","depth_group"
"1","ERR10028091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NB348_RNA","PRJEB24595",NA,NA,"13/10/2009",2009,10,13,40.8,14.25,"30_60",78,"EPI",NA,"shallow marine sediment (ENVO_01000043)",NA,37.9,NA,"Westerlies - Mediterranean Sea, Black Sea Province","MEDI","Mediterranean Sea","Atlantic","Westerly","NAO",5952,397503,4,2,0,0,0,0,0,"SUNLIGHT","epi"
"2","ERR10028094",20,0,0,1,1,0,0,17,0,0,1,0,0,0,0,0,1,0,1,0,6,0,1,0,11,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OF018_DNA","BioMarKs_Illumina",0.8,"3","22/09/2009",2009,9,22,59.26666667,10.71666667,"30_60",20,"EPI",NA,"deep chlorophyll maximum layer (ENVO_01000326)",NA,999,NA,"Coastal - NE Atlantic Shelves Province","NECS","Northeast Atlantic shelves","Atlantic","Coastal","NAO",2693,595189,3899,20,67,13,1.917321475,13,41,"SUNLIGHT","epi"
"3","ERR10028097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OF229_RNA","PRJEB24158",NA,NA,"22/09/2009",2009,9,22,59.26666667,10.71666667,"30_60",103,"EPI",NA,"shallow marine sediment (ENVO_01000043)",NA,35,NA,"Coastal - NE Atlantic Shelves Province","NECS","Northeast Atlantic shelves","Atlantic","Coastal","NAO",7269,396229,5,2,0,0,0,0,0,"SUNLIGHT","epi"
"4","ERR10028103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA122_RNA","BioMarKs_Illumina",0.8,"3","26/05/2010",2010,5,26,43.16666667,28.83333333,"30_60",250,"MESO",NA,"marine anoxic zone (ENVO_01000066)",NA,999,NA,"Westerlies - Mediterranean Sea, Black Sea Province","MEDI","Mediterranean Sea","Atlantic","Westerly","NAO",1250,735850,166,4,0,0,0,0,0,"NO_SUNLIGHT","meso"
"5","ERR10234080",29,4,1,2,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAAOSTA_2_1_HYGGYBCXY.12BA175","Tara_Oceans",0.22,"3","24/05/2013",2013,5,24,54.5305,-16.9377,"30_60",5,"SURF",NA,NA,NA,35.325105,NA,"Westerlies - N. Atlantic Drift Province (WWDR)","NADR","North Atlantic Drift","Atlantic","Westerly","NAO",1880,395242,2031,24,51,14,1.718084122,14,21,"SUNLIGHT","epi"
"6","ERR10234081",27,6,1,2,3,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAABOSTA_2_1_HYGGYBCXY.12BA187","Tara_Oceans",0.22,"3","25/05/2013",2013,5,25,54.5451,-16.7943,"30_60",40,"EPI",NA,NA,NA,35.33502,NA,"Westerlies - N. Atlantic Drift Province (WWDR)","NADR","North Atlantic Drift","Atlantic","Westerly","NAO",2137,381783,2133,23,52,13,1.783204303,13,16.75,"SUNLIGHT","epi"
"7","ERR10234083",2,5,7,1,6,5,5,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAEOSTA_2_1_HYGGYBCXY.12BA128","Tara_Oceans",0.22,"3","04/06/2013",2013,6,4,67.1675,0.2177,"60_90",651,"MESO",NA,NA,NA,34.90349,NA,"Polar - Atlantic Subarctic Province","SARC","Atlantic sub-Arctic","Atlantic","Polar","NAO",2664,485661,2067,20,41,12,2.234295293,12,17,"NO_SUNLIGHT","meso"
"8","ERR10234084",3,10,14,0,5,8,55,0,0,0,0,2,7,23,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAGOSTA_2_1_HYGGYBCXY.12BA152","Tara_Oceans",0.22,"3","10/06/2013",2013,6,10,76.1246,1.3648,"60_90",499,"MESO",NA,NA,NA,34.94578,NA,"Polar - Atlantic Arctic Province","ARCT","Atlantic Arctic","Atlantic","Polar","NAO",2811,396189,5334,23,145,18,2.142385609,18,19.2,"NO_SUNLIGHT","meso"
"9","ERR10234085",177,0,5,0,0,1,38,0,0,0,0,0,2,23,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAKOSTA_2_1_HYGGYBCXY.12BA105","Tara_Oceans",0.22,"3","01/07/2013",2013,7,1,72.5128,44.0775,"60_90",5,"SURF",NA,NA,NA,34.92306,NA,"Polar - Atlantic Subarctic Province","SARC","Atlantic sub-Arctic","Atlantic","Polar","NAO",1022,469713,12503,15,267,9,1.123200088,9,10.5,"SUNLIGHT","epi"
"10","ERR10234086",2,3,2,3,6,2,8,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAOOSTA_2_1_HYGGYBCXY.12BA153","Tara_Oceans",0.22,"3","10/07/2013",2013,7,10,79.2026,66.4827,"60_90",199,"EPI",NA,NA,NA,34.8814,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",2572,405392,1781,20,41,10,2.022308161,10,10,"SUNLIGHT","epi"
"11","ERR10234087",11,0,528,0,0,168,10,0,0,0,0,1,789,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAPOSTA_2_1_HYGGYBCXY.12BA165","Tara_Oceans",0.22,"3","15/07/2013",2013,7,15,77.1604,73.2057,"60_90",5,"SURF",NA,NA,NA,34.056675,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",726,366955,61547,17,1675,10,1.310606235,10,10,"SUNLIGHT","epi"
"12","ERR10234088",4,0,1,0,0,152,86,0,0,0,0,0,16,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAQOSTA_2_1_HYGGYBCXY.12BA177","Tara_Oceans",0.22,"3","18/07/2013",2013,7,18,74.8023,76.1478,"60_90",5,"SURF",NA,NA,NA,22.047506,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",859,412628,13463,14,318,7,1.258541954,7,8,"SUNLIGHT","epi"
"13","ERR10234089",43,0,9,0,0,532,60,0,0,0,0,1,125,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAROSTA_2_1_HYGGYBCXY.12BA189","Tara_Oceans",0.22,"3","18/07/2013",2013,7,18,74.8283,76.2096,"60_90",30,"EPI",NA,NA,NA,33.646125,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",1383,353120,30260,24,861,13,1.322330984,13,16,"SUNLIGHT","epi"
"14","ERR10234090",4,0,6,0,0,9,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAASOSTA_2_1_HYGGYBCXY.12BA106","Tara_Oceans",0.22,"3","15/08/2013",2013,8,15,78.3555,91.6084,"60_90",17,"EPI",NA,NA,NA,33.455583,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",1471,531191,1414,13,25,5,1.498786734,5,5,"SUNLIGHT","epi"
"15","ERR10234091",1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAATOSTA_2_1_HYGGYBCXY.12BA118","Tara_Oceans",0.22,"3","15/08/2013",2013,8,15,78.2518,91.8557,"60_90",5,"SURF",NA,NA,NA,32.9488,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",899,465944,353,11,8,4,1.073542846,4,7,"SUNLIGHT","epi"
"16","ERR10234092",24,0,0,0,0,29,19,0,0,0,0,0,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAUOSTA_2_1_HYGGYBCXY.12BA130","Tara_Oceans",0.22,"3","27/08/2013",2013,8,27,77.9668,116.6556,"60_90",20,"EPI",NA,NA,NA,32.741495,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",947,500314,4913,15,98,9,1.721108245,9,10.5,"SUNLIGHT","epi"
"17","ERR10234093",1,6,4,0,8,8,17,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAVOSTA_2_1_HYGGYBCXY.12BA142","Tara_Oceans",0.22,"3","28/08/2013",2013,8,28,78.0391,116.4105,"60_90",299,"MESO",NA,NA,NA,34.92558,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",2565,405502,2562,20,61,10,1.903034054,10,16,"NO_SUNLIGHT","meso"
"18","ERR10234094",121,0,64,0,0,46,98,0,0,0,0,0,25,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AAAZOSTA_2_1_HYGGYBCXY.12BA190","Tara_Oceans",0.22,"3","12/09/2013",2013,9,12,73.3275,-168.8142,"60_90",35,"EPI",NA,NA,NA,31.56495,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",1235,337277,12749,23,378,8,1.660857507,8,8,"SUNLIGHT","epi"
"19","ERR10234095",34,0,1,0,0,32,19,0,0,0,0,0,1,13,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AABBOSTA_2_1_HYGGYBCXY.12BA119","Tara_Oceans",0.22,"3","14/09/2013",2013,9,14,71.8895,-154.9101,"60_90",5,"SURF",NA,NA,NA,28.604712,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",1519,492920,6146,15,123,9,1.780206959,9,12,"SUNLIGHT","epi"
"20","ERR10234096",65,0,97,0,0,162,38,0,0,0,0,0,9,52,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AABCOSTA_2_1_HYGGYBCXY.12BA131","Tara_Oceans",0.22,"3","30/09/2013",2013,9,30,74.3386,-85.6208,"60_90",36,"EPI",NA,NA,NA,31.947283,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",1657,468584,21431,26,462,10,1.80153972,10,10,"SUNLIGHT","epi"
"21","ERR10234097",58,1,103,0,2,45,148,0,1,0,0,0,35,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AABDOSTA_2_1_HYGGYBCXY.12BA143","Tara_Oceans",0.22,"3","29/09/2013",2013,9,29,74.305,-85.6552,"60_90",441,"MESO",NA,NA,NA,34.342505,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",2088,413168,19702,27,475,16,1.899796352,16,16.5,"NO_SUNLIGHT","meso"
"22","ERR10234098",68,0,182,0,0,216,139,0,0,0,0,0,36,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AABEOSTA_2_1_HYGGYBCXY.12BA155","Tara_Oceans",0.22,"3","30/09/2013",2013,9,30,74.2987,-85.7806,"60_90",5,"SURF",NA,NA,NA,30.636767,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",1297,480766,33329,25,699,8,1.671448852,8,8,"SUNLIGHT","epi"
"23","ERR10234099",38,2,80,0,7,45,86,0,1,0,0,0,18,56,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCC_AABFOSTA_2_1_HYGGYBCXY.12BA167","Tara_Oceans",0.22,"3","08/10/2013",2013,10,8,72.4456,-71.8814,"60_90",491,"MESO",NA,NA,NA,34.378169,NA,"Polar - Boreal Polar Province (POLR)","BPLR","Boreal polar","Arctic","Polar","AO",1986,415727,14153,26,353,15,2.012158044,15,15,"NO_SUNLIGHT","meso"
